Total_Accidents,Total_Release_BBLS,Total_Recovered_BBLS,Avg_Prop_Damage,Avg_Env_Damage,Total_Fatalities,Total_Injuries,Operational_Rigs,Distillation_Capacity,Refinery_Inputs,%_Utilization_of_Refinery_Operable_Capacity,Date,%_Utilization_of_Refinery_Operable_Capacity_lag1,%_Utilization_of_Refinery_Operable_Capacity_lag3,%_Utilization_of_Refinery_Operable_Capacity_lag6,%_Utilization_of_Refinery_Operable_Capacity_lag12,Refinery_Inputs_lag1,Refinery_Inputs_lag3,Refinery_Inputs_lag6,Refinery_Inputs_lag12,Total_Accidents_lag1,Total_Accidents_lag3,Total_Accidents_lag6,Total_Accidents_lag12,%_Utilization_of_Refinery_Operable_Capacity_roll3_mean,%_Utilization_of_Refinery_Operable_Capacity_roll3_sum,%_Utilization_of_Refinery_Operable_Capacity_roll6_mean,%_Utilization_of_Refinery_Operable_Capacity_roll6_sum,%_Utilization_of_Refinery_Operable_Capacity_roll12_mean,%_Utilization_of_Refinery_Operable_Capacity_roll12_sum,Total_Accidents_roll3_mean,Total_Accidents_roll3_sum,Total_Accidents_roll6_mean,Total_Accidents_roll6_sum,Total_Accidents_roll12_mean,Total_Accidents_roll12_sum,Total_Release_BBLS_roll3_mean,Total_Release_BBLS_roll3_sum,Total_Release_BBLS_roll6_mean,Total_Release_BBLS_roll6_sum,Total_Release_BBLS_roll12_mean,Total_Release_BBLS_roll12_sum,Operational_Rigs_roll3_mean,Operational_Rigs_roll3_sum,Operational_Rigs_roll6_mean,Operational_Rigs_roll6_sum,Operational_Rigs_roll12_mean,Operational_Rigs_roll12_sum,target_utilization_pct
34,22689.460000000003,7455.16,154197.85294117648,405977.7941176471,0,0,1396.0,17818.0,16483.0,92.5,2013-07-01,91.6,85.8,83.8,92.5,16313.0,15282.0,14934.0,15991.0,29.0,39.0,47.0,27.0,88.53333333333335,265.6,85.78333333333335,514.7,87.66666666666667,1052.0,38.333333333333336,115.0,38.5,231.0,34.25,411.0,2938.876666666667,8816.630000000001,7871.298333333335,47227.79000000001,6242.061666666666,74904.73999999999,1395.0,4185.0,1362.3333333333333,8174.0,1381.25,16575.0,91.4
36,31154.62,1308.55,106005.61111111112,144612.19444444444,0,1,1388.0,17820.0,16291.0,91.4,2013-08-01,92.5,88.2,81.6,91.1,16483.0,15714.0,14542.0,15679.0,34.0,47.0,43.0,30.0,90.76666666666665,272.29999999999995,87.23333333333333,523.4,87.66666666666667,1052.0,36.666666666666664,110.0,36.333333333333336,218.0,34.833333333333336,418.0,10389.510000000002,31168.530000000006,11460.778333333335,68764.67000000001,7570.879166666667,90850.55,1402.3333333333333,4207.0,1375.3333333333333,8252.0,1379.3333333333333,16552.0,90.7
24,5521.02,1041.15,100631.04166666669,97291.25,0,1,1364.0,17820.0,16157.0,90.7,2013-09-01,91.4,91.6,83.7,87.6,16291.0,16313.0,14907.0,15248.0,36.0,29.0,26.0,33.0,91.83333333333333,275.5,88.86666666666667,533.2,87.69166666666666,1052.3,33.0,99.0,35.166666666666664,211.0,35.333333333333336,424.0,19631.003333333334,58893.01,16248.718333333336,97492.31000000001,10080.603333333333,120967.23999999999,1396.0,4188.0,1384.6666666666667,8308.0,1376.4166666666667,16517.0,86.8
25,1163.45,1046.02,193623.88,31140.6,0,0,1364.0,17820.0,15475.0,86.8,2013-10-01,90.7,92.5,85.8,87.1,16157.0,16483.0,15282.0,15153.0,24.0,34.0,39.0,24.0,91.53333333333335,274.6,90.03333333333332,540.1999999999999,87.94999999999999,1055.3999999999999,31.333333333333332,94.0,34.833333333333336,209.0,34.583333333333336,415.0,19788.36666666667,59365.100000000006,11363.621666666668,68181.73000000001,9943.6725,119324.07,1382.6666666666667,4148.0,1388.8333333333333,8333.0,1372.6666666666667,16472.0,90.6
26,4759.58,358.08,100127.1153846154,34694.153846153844,0,0,1384.0,17820.0,16135.0,90.6,2013-11-01,86.8,91.4,88.2,88.6,15475.0,16291.0,15714.0,15416.0,25.0,36.0,47.0,34.0,89.63333333333333,268.9,90.2,541.2,87.92500000000001,1055.1000000000001,28.333333333333332,85.0,32.5,195.0,34.666666666666664,416.0,12613.029999999999,37839.09,11501.270000000002,69007.62000000001,9907.839166666667,118894.06999999999,1372.0,4116.0,1387.1666666666667,8323.0,1369.0833333333333,16429.0,91.9
24,4948.15,4019.39,107972.04166666669,69685.625,0,0,1396.0,17820.0,16377.0,91.9,2013-12-01,90.6,90.7,91.6,90.4,16135.0,16157.0,16313.0,15717.0,26.0,24.0,29.0,32.0,89.36666666666667,268.1,90.59999999999998,543.5999999999999,88.09166666666665,1057.1,25.0,75.0,29.0,174.0,34.0,408.0,3814.683333333332,11444.049999999996,11722.843333333336,70337.06000000001,10111.253333333332,121335.04,1370.6666666666667,4112.0,1383.3333333333333,8300.0,1369.0,16428.0,87.3
47,3199.84,2754.57,5684.787234042553,50862.59574468085,0,0,1403.0,17925.0,15649.0,87.3,2014-01-01,91.9,86.8,92.5,83.8,16377.0,15475.0,16483.0,14934.0,24.0,25.0,34.0,47.0,89.76666666666667,269.3,90.64999999999999,543.9,88.21666666666665,1058.6,25.0,75.0,28.166666666666668,169.0,33.333333333333336,400.0,3623.7266666666656,10871.179999999997,11706.046666666667,70236.28,9788.672499999999,117464.06999999999,1381.3333333333333,4144.0,1382.0,8292.0,1372.1666666666667,16466.0,86.6
44,2140.79,1783.8,19890.727272727272,15185.295454545454,0,0,1424.0,17925.0,15518.0,86.6,2014-02-01,87.3,90.6,91.4,81.6,15649.0,16135.0,16291.0,14542.0,47.0,26.0,36.0,43.0,89.93333333333334,269.8,89.78333333333335,538.7,88.50833333333333,1062.1,32.333333333333336,97.0,30.333333333333332,182.0,33.333333333333336,400.0,4302.523333333332,12907.569999999996,8457.776666666667,50746.66,9959.2775,119511.33,1394.3333333333333,4183.0,1383.1666666666667,8299.0,1379.25,16551.0,85.8
52,7095.62,2880.67,32529.346153846152,132932.15384615384,0,0,1466.0,17931.0,15390.0,85.8,2014-03-01,86.6,91.9,90.7,83.7,15518.0,16377.0,16157.0,14907.0,44.0,24.0,24.0,26.0,88.60000000000001,265.8,88.98333333333333,533.9,88.925,1067.1,38.333333333333336,115.0,31.666666666666668,190.0,33.416666666666664,401.0,3429.593333333332,10288.779999999995,3622.1383333333347,21732.83000000001,9935.428333333333,119225.14,1407.6666666666667,4223.0,1389.1666666666667,8335.0,1386.9166666666667,16643.0,90.6
46,1637.2,1140.58,26465.78260869565,20574.5,0,0,1515.0,17951.0,16264.0,90.6,2014-04-01,85.8,87.3,86.8,85.8,15390.0,15649.0,15475.0,15282.0,52.0,47.0,25.0,39.0,86.56666666666666,259.7,88.16666666666667,529.0,89.10000000000001,1069.2,47.666666666666664,143.0,36.333333333333336,218.0,35.583333333333336,427.0,4145.416666666665,12436.249999999996,3884.571666666668,23307.430000000008,7624.096666666667,91489.16,1431.0,4293.0,1406.1666666666667,8437.0,1397.5,16770.0,90.2
